,Point,EndPointFrequency,StartPointFrequency,Latitude,Longitude,PointCounts,TotPct,StartPct,EndPct
145,"(50.83217, -1.06041)",44,14,50.83217,-1.06041,58,0.026175529490344393,0.01094023505876469,0.04700201895035946
146,"(51.2136, -1.52914)",43,5,51.2136,-1.52914,48,0.02166250716442294,0.003907226806701676,0.0459337912469422
147,"(55.91521, 9.82681)",43,43,55.91521,9.82681,86,0.03881199200292444,0.03360215053763441,0.0459337912469422
148,"(51.90879, 4.36044)",43,58,51.90879,4.36044,101,0.04558152549180661,0.04532383095773943,0.0459337912469422
149,"(53.53369, 10.07314)",42,4,53.53369,10.07314,46,0.020759902699238653,0.0031257814453613405,0.04486556354352494
150,"(56.01825, 12.73335)",42,127,56.01825,12.73335,169,0.07627007730807243,0.09924356089022256,0.04486556354352494
151,"(53.19074, -1.34951)",42,106,53.19074,-1.34951,148,0.06679273042363741,0.08283320830207552,0.04486556354352494
152,"(58.37856, 13.87361)",42,4,58.37856,13.87361,46,0.020759902699238653,0.0031257814453613405,0.04486556354352494
153,"(53.71874, -1.41235)",42,14,53.71874,-1.41235,56,0.0252729250251601,0.01094023505876469,0.04486556354352494
154,"(53.52426, -1.13039)",42,16,53.52426,-1.13039,58,0.026175529490344393,0.012503125781445362,0.04486556354352494
155,"(57.15928, 13.41594)",42,13,57.15928,13.41594,55,0.024821622792567957,0.010158789697424356,0.04486556354352494
156,"(51.556, -1.80727)",41,9,51.556,-1.80727,50,0.022565111629607233,0.007033008252063015,0.04379733584010768
157,"(60.38342, 25.16333)",41,24,60.38342,25.16333,65,0.029334645118489402,0.018754688672168042,0.04379733584010768
158,"(52.15826, 6.19948)",41,1,52.15826,6.19948,42,0.018954693768870073,0.0007814453613403351,0.04379733584010768
159,"(51.50632, -0.01164)",41,7,51.50632,-0.01164,48,0.02166250716442294,0.005470117529382345,0.04379733584010768
160,"(51.59549, -1.73627)",40,10,51.59549,-1.73627,50,0.022565111629607233,0.007814453613403351,0.04272910813669042
161,"(53.19269, -1.36156)",40,18,53.19269,-1.36156,58,0.026175529490344393,0.01406601650412603,0.04272910813669042
162,"(53.79668, -1.79388)",40,25,53.79668,-1.79388,65,0.029334645118489402,0.019536134033508377,0.04272910813669042
163,"(52.06339, -1.31349)",40,9,52.06339,-1.31349,49,0.022113809397015086,0.007033008252063015,0.04272910813669042
164,"(55.93684, -3.98603)",40,11,55.93684,-3.98603,51,0.023016413862199374,0.008595898974743686,0.04272910813669042
165,"(51.41976, -0.97307)",40,10,51.41976,-0.97307,50,0.022565111629607233,0.007814453613403351,0.04272910813669042
166,"(51.90642, 4.3585)",40,207,51.90642,4.3585,247,0.11147165145025972,0.16175918979744935,0.04272910813669042
167,"(60.30212, 24.92422)",39,27,60.30212,24.92422,66,0.029785947351081546,0.021099024756189046,0.04166088043327316
168,"(54.54437, -1.5791)",39,8,54.54437,-1.5791,47,0.021211204931830797,0.006251562890722681,0.04166088043327316
169,"(60.29936, 24.90584)",39,30,60.29936,24.90584,69,0.031139854048857978,0.02344336084021005,0.04166088043327316
170,"(54.46023, -6.35214)",39,109,54.46023,-6.35214,148,0.06679273042363741,0.08517754438609652,0.04166088043327316
171,"(57.78069, 11.93154)",39,13,57.78069,11.93154,52,0.02346771609479152,0.010158789697424356,0.04166088043327316
172,"(57.69735, 11.84909)",39,16,57.69735,11.84909,55,0.024821622792567957,0.012503125781445362,0.04166088043327316
173,"(53.47114, -2.85863)",39,268,53.47114,-2.85863,307,0.13854978540578838,0.2094273568392098,0.04166088043327316
174,"(51.77017, -0.24119)",39,19,51.77017,-0.24119,58,0.026175529490344393,0.014847461865466366,0.04166088043327316
175,"(51.31934, 9.84755)",39,4,51.31934,9.84755,43,0.01940599600146222,0.0031257814453613405,0.04166088043327316
176,"(59.72176, 10.2306)",39,5,59.72176,10.2306,44,0.019857298234054365,0.003907226806701676,0.04166088043327316
177,"(51.50632, -0.01477)",39,25,51.50632,-0.01477,64,0.028883342885897258,0.019536134033508377,0.04166088043327316
178,"(51.76548, 0.00839)",39,19,51.76548,0.00839,58,0.026175529490344393,0.014847461865466366,0.04166088043327316
179,"(58.37659, 13.85652)",39,9,58.37659,13.85652,48,0.02166250716442294,0.007033008252063015,0.04166088043327316
180,"(54.67515, -5.97981)",38,21,54.67515,-5.97981,59,0.026626831722936534,0.016410352588147038,0.0405926527298559
181,"(60.22216, 25.17523)",38,19,60.22216,25.17523,57,0.025724227257752242,0.014847461865466366,0.0405926527298559
182,"(51.59652, -1.73611)",38,5,51.59652,-1.73611,43,0.01940599600146222,0.003907226806701676,0.0405926527298559
183,"(59.57812, 10.74484)",38,11,59.57812,10.74484,49,0.022113809397015086,0.008595898974743686,0.0405926527298559
184,"(60.43571, 22.22081)",38,3,60.43571,22.22081,41,0.018503391536277933,0.0023443360840210052,0.0405926527298559
185,"(50.72377, 1.5902)",38,13,50.72377,1.5902,51,0.023016413862199374,0.010158789697424356,0.0405926527298559
186,"(54.82427, 9.35505)",38,206,54.82427,9.35505,244,0.1101177447524833,0.16097774443610902,0.0405926527298559
187,"(56.16921, 14.85786)",38,57,56.16921,14.85786,95,0.04287371209625374,0.0445423855963991,0.0405926527298559
188,"(52.4041, -1.24586)",37,3,52.4041,-1.24586,40,0.018052089303685785,0.0023443360840210052,0.03952442502643864
189,"(52.58535, -1.55747)",37,7,52.58535,-1.55747,44,0.019857298234054365,0.005470117529382345,0.03952442502643864
190,"(51.89675, -8.34382)",37,12,51.89675,-8.34382,49,0.022113809397015086,0.009377344336084021,0.03952442502643864
191,"(59.85265, 10.47581)",37,1,59.85265,10.47581,38,0.017149484838501497,0.0007814453613403351,0.03952442502643864
192,"(60.47144, 22.39639)",37,19,60.47144,22.39639,56,0.0252729250251601,0.014847461865466366,0.03952442502643864
193,"(51.69665, 5.27635)",37,2,51.69665,5.27635,39,0.01760078707109364,0.0015628907226806702,0.03952442502643864
194,"(52.01603, 5.55685)",37,3,52.01603,5.55685,40,0.018052089303685785,0.0023443360840210052,0.03952442502643864
195,"(51.54422, -2.64407)",37,7,51.54422,-2.64407,44,0.019857298234054365,0.005470117529382345,0.03952442502643864
196,"(54.63382883274339, -5.8868474102778805)",37,123,54.63382883274339,-5.8868474102778805,160,0.07220835721474314,0.09611777944486122,0.03952442502643864
197,"(51.63659, 12.22721)",36,9,51.63659,12.22721,45,0.02030860046664651,0.007033008252063015,0.03845619732302138
198,"(53.47306, -2.3173)",36,32,53.47306,-2.3173,68,0.030688551816265834,0.025006251562890724,0.03845619732302138
199,"(59.57333, 10.74631)",36,8,59.57333,10.74631,44,0.019857298234054365,0.006251562890722681,0.03845619732302138
200,"(53.72657, -1.47493)",36,28,53.72657,-1.47493,64,0.028883342885897258,0.02188047011752938,0.03845619732302138
201,"(56.63791, 9.77947)",36,20,56.63791,9.77947,56,0.0252729250251601,0.015628907226806703,0.03845619732302138
202,"(55.82681, -4.04608)",36,39,55.82681,-4.04608,75,0.033847667444410846,0.03047636909227307,0.03845619732302138
203,"(53.12719, -1.01445)",36,16,53.12719,-1.01445,52,0.02346771609479152,0.012503125781445362,0.03845619732302138
204,"(53.35037, -6.20248)",36,59,53.35037,-6.20248,95,0.04287371209625374,0.04610527631907977,0.03845619732302138
205,"(53.53919, -1.03753)",35,9,53.53919,-1.03753,44,0.019857298234054365,0.007033008252063015,0.03738796961960412
206,"(55.45818, 8.48269)",35,30,55.45818,8.48269,65,0.029334645118489402,0.02344336084021005,0.03738796961960412
207,"(60.45804, 22.04732)",35,7,60.45804,22.04732,42,0.018954693768870073,0.005470117529382345,0.03738796961960412
208,"(53.34807, -6.24829)",35,11,53.34807,-6.24829,46,0.020759902699238653,0.008595898974743686,0.03738796961960412
209,"(59.57672, 10.74934)",35,13,59.57672,10.74934,48,0.02166250716442294,0.010158789697424356,0.03738796961960412
210,"(52.72839, 4.79227)",35,32,52.72839,4.79227,67,0.030237249583673693,0.025006251562890724,0.03738796961960412
211,"(55.6347, 13.06746)",35,91,55.6347,13.06746,126,0.05686408130661022,0.07111152788197049,0.03738796961960412
212,"(51.18473, 0.39581)",35,9,51.18473,0.39581,44,0.019857298234054365,0.007033008252063015,0.03738796961960412
213,"(59.90779, 10.48945)",35,1,59.90779,10.48945,36,0.016246880373317205,0.0007814453613403351,0.03738796961960412
214,"(53.12663, -1.01581)",35,7,53.12663,-1.01581,42,0.018954693768870073,0.005470117529382345,0.03738796961960412
215,"(57.69791, 11.82538)",35,20,57.69791,11.82538,55,0.024821622792567957,0.015628907226806703,0.03738796961960412
216,"(52.24443, -7.15401)",35,56,52.24443,-7.15401,91,0.041068503165885166,0.04376094023505876,0.03738796961960412
217,"(51.49279, 0.16744)",34,15,51.49279,0.16744,49,0.022113809397015086,0.011721680420105025,0.03631974191618686
218,"(53.576, -0.09974)",34,29,53.576,-0.09974,63,0.02843204065330511,0.022661915478869716,0.03631974191618686
219,"(52.25207, 11.88414)",34,4,52.25207,11.88414,38,0.017149484838501497,0.0031257814453613405,0.03631974191618686
